Index,Value
638,1579
639,1867
640,1905
641,1853
642,1893
643,1885
644,1870
645,1906
646,1911
647,1911
648,1904
649,1937
650,1943
651,1984
652,2006
653,2047
654,2064
655,2083
656,2096
657,2057
658,2010
659,1971
660,1926
661,1898
662,1877
663,1869
664,1866
665,1856
666,1866
667,1883
668,1866
669,1915
670,1872
671,1891
672,1910
673,1856
674,1875
675,1904
676,1914
677,1872
678,1863
679,1904
680,1898
681,1922
682,1878
683,1896
684,1907
685,1920
686,1936
687,1871
688,1874
689,1889
690,1897
691,1874
692,1878
693,1907
694,1888
695,1837
696,1877
697,2246
698,2141
699,1983
700,1649
701,1782
702,1911
703,1897
704,1895
705,1908
706,1930
707,1901
708,1933
709,1949
710,1946
711,1951
712,1977
713,1994
714,1998
715,2035
716,2063
717,2096
718,2107
719,2103
720,2095
721,1998
722,1955
723,1920
724,1914
725,1894
726,1904
727,1907
728,1900
729,1889
730,1908
731,1910
732,1922
733,1945
734,1904
735,1936
736,1933
737,1908
738,1934
739,1925
740,1947
741,1925
742,1909
743,1973
744,1927
745,1920
746,1906
747,1951
748,1949
749,1933
750,1920
751,1890
752,1903
753,1924
754,1902
755,1893
756,1909
757,1866
758,1957
759,2358
760,2147
761,1974
762,1647
763,1906
764,1953
765,1926
766,1930
767,1935
768,1953
769,1959
770,1968
771,1985
772,1988
773,1986
774,2000
775,2032
776,2057
777,2102
778,2085
779,2128
780,2128
781,2111
782,2087
783,2032
784,1966
785,1954
786,1920
787,1919
788,1904
789,1917
790,1929
791,1902
792,1919
793,1951
794,1902
795,1911
796,1958
797,1929
798,1929
799,1941
800,1942
801,1926
802,1901
803,1934
804,1939
805,1963
806,1919
807,1905
808,1932
809,1984
810,1908
811,1908
812,1915
813,1889
814,1918
815,1921
816,1899
817,1927
818,1888
819,1861
820,2111
821,2387
822,2035
823,1789
824,1715
825,1951
826,1930
827,1909
828,1930
829,1936
830,1921
831,1946
832,1935
833,1959
834,1981
835,1978
836,2001
837,1991
838,2047
839,2061
840,2093
841,2128
842,2096
843,2084
844,2061
845,1970
846,1932
847,1936
848,1883
849,1877
850,1905
851,1884
852,1894
853,1907
854,1891
855,1891
856,1904
857,1893
858,1902
859,1895
860,1904
861,1902
862,1903
863,1879
864,1888
865,1897
866,1894
867,1932
868,1921
869,1861
870,1855
871,1919
872,1905
873,1843
874,1904
875,1853
876,1849
877,1857
878,1888
879,1873
880,1865
881,1835
882,1934
883,2279
884,2003
885,1950
886,1599
887,1853
888,1899
889,1837
890,1907
891,1904
892,1901
893,1897
894,1934
895,1919
896,1904
897,1936
898,1935
899,1967
900,1995
901,2032
902,2053
903,2083
904,2067
